job_id,job_title,seniority,industry,must_have_skills,nice_to_have_skills,description,responsibilities,requirements
J_000036,Full Stack Engineer,Junior,Logistics,"[CI/CD, Unit Testing, JavaScript, Python]",[Java],We are hiring a Full Stack Engineer to support teams in Logistics.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000037,Program Coordinator,Junior,EdTech,"[Project Planning, Timeline Management, Process Improvement, KPIs, Risk Management]",[Stakeholder Communication],We are hiring a Program Coordinator to support teams in EdTech.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000038,Business Development Manager,Senior,Cybersecurity,"[Lead Generation, Negotiation, Forecasting, Account Management, Prospecting]",[Closing],We are hiring a Business Development Manager to support teams in Cybersecurity.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000039,Sales Representative,Senior,Gaming,"[Outbound Outreach, CRM, Forecasting, Pipeline Management]",[Negotiation],We are hiring a Sales Representative to support teams in Gaming.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000040,Business Analyst,Junior,Cybersecurity,"[Power BI, Tableau, Python, Pandas]",[ETL],We are hiring a Business Analyst to support teams in Cybersecurity.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000041,Associate Product Manager,Junior,FinTech,"[PRD, Analytics, Prioritization, User Research, Agile]",[Stakeholder Management],We are hiring a Associate Product Manager to support teams in FinTech.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000042,Customer Support Specialist,Mid,Logistics,"[Documentation, Customer Satisfaction, Ticketing]",[SLA],We are hiring a Customer Support Specialist to support teams in Logistics.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000043,Account Executive,Senior,E-commerce,"[Account Management, Pipeline Management, CRM, Lead Generation, Forecasting]",[Negotiation],We are hiring a Account Executive to support teams in E-commerce.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000044,Business Analyst,Senior,Cybersecurity,"[Data Visualization, A/B Testing, ETL, Excel]",[Python],We are hiring a Business Analyst to support teams in Cybersecurity.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000045,BI Analyst,Senior,SaaS,"[SQL, Data Visualization, A/B Testing, Power BI, Excel]",[ETL],We are hiring a BI Analyst to support teams in SaaS.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000046,Business Analyst,Senior,Retail,"[Statistics, Excel, Data Visualization]",[Python],We are hiring a Business Analyst to support teams in Retail.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000047,Business Analyst,Mid,SaaS,"[Data Visualization, Pandas, A/B Testing, Power BI]",[Statistics],We are hiring a Business Analyst to support teams in SaaS.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000048,FP&A Analyst,Mid,Retail,"[Accounting, Valuation, KPIs, Variance Analysis]",[Cash Flow],We are hiring a FP&A Analyst to support teams in Retail.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000049,Performance Marketer,Junior,Retail,"[Marketing Analytics, Content Marketing, Conversion Optimization, Meta Ads]",[Landing Pages],We are hiring a Performance Marketer to support teams in Retail.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000050,Sales Representative,Mid,E-commerce,"[Prospecting, Negotiation, Outbound Outreach]",[CRM],We are hiring a Sales Representative to support teams in E-commerce.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000051,Associate Product Manager,Mid,Logistics,"[Analytics, Product Strategy, Agile, User Research]",[PRD],We are hiring a Associate Product Manager to support teams in Logistics.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000052,Junior Accountant,Mid,Healthcare,"[Excel, Variance Analysis, Budgeting, Cash Flow]",[KPIs],We are hiring a Junior Accountant to support teams in Healthcare.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000053,Customer Success Associate,Senior,Healthcare,"[Root Cause Analysis, Documentation, Troubleshooting]",[Ticketing],We are hiring a Customer Success Associate to support teams in Healthcare.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000054,BI Analyst,Junior,Cybersecurity,"[Power BI, Excel, SQL, Statistics]",[Python],We are hiring a BI Analyst to support teams in Cybersecurity.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000055,Sales Representative,Mid,Healthcare,"[Discovery Calls, Forecasting, Negotiation, Prospecting]",[Closing],We are hiring a Sales Representative to support teams in Healthcare.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000056,Program Coordinator,Senior,Travel,"[KPIs, Process Improvement, Cross-functional Coordination]",[Timeline Management],We are hiring a Program Coordinator to support teams in Travel.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000057,Sales Representative,Junior,Logistics,"[Lead Generation, Closing, Prospecting]",[CRM],We are hiring a Sales Representative to support teams in Logistics.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000058,Financial Analyst,Mid,Travel,"[Financial Modeling, Excel, Forecasting, Valuation]",[Accounting],We are hiring a Financial Analyst to support teams in Travel.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000059,Program Coordinator,Senior,Healthcare,"[Asana, Project Planning, Jira, Risk Management, KPIs]",[Timeline Management],We are hiring a Program Coordinator to support teams in Healthcare.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000060,Business Analyst,Mid,Retail,"[SQL, Pandas, Statistics, A/B Testing, Python]",[Tableau],We are hiring a Business Analyst to support teams in Retail.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000061,Technical Support Specialist,Junior,SaaS,"[SLA, Communication, Root Cause Analysis, Customer Satisfaction]",[Troubleshooting],We are hiring a Technical Support Specialist to support teams in SaaS.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000062,Junior Accountant,Mid,Logistics,"[Variance Analysis, KPIs, Accounting]",[Budgeting],We are hiring a Junior Accountant to support teams in Logistics.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000063,Technical Support Specialist,Senior,Cybersecurity,"[Root Cause Analysis, Escalations, Communication, Intercom]",[Ticketing],We are hiring a Technical Support Specialist to support teams in Cybersecurity.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000064,Project Manager,Senior,Retail,"[Asana, Risk Management, Jira, Stakeholder Communication]",[KPIs],We are hiring a Project Manager to support teams in Retail.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000065,Business Development Manager,Mid,FinTech,"[Account Management, Forecasting, CRM, Discovery Calls]",[Pipeline Management],We are hiring a Business Development Manager to support teams in FinTech.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000066,Full Stack Engineer,Mid,Healthcare,"[Git, CI/CD, Python, OOP]",[Docker],We are hiring a Full Stack Engineer to support teams in Healthcare.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000067,Operations Manager,Mid,Retail,"[Process Improvement, Jira, Reporting, Project Planning, Timeline Management]",[Asana],We are hiring a Operations Manager to support teams in Retail.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000068,Performance Marketer,Senior,Logistics,"[SEO, Google Ads, A/B Testing, Email Marketing, Conversion Optimization]",[Content Marketing],We are hiring a Performance Marketer to support teams in Logistics.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000069,Customer Success Associate,Mid,Healthcare,"[Troubleshooting, Documentation, Ticketing, Communication]",[Customer Satisfaction],We are hiring a Customer Success Associate to support teams in Healthcare.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
J_000070,Customer Support Specialist,Mid,Travel,"[Intercom, Root Cause Analysis, Documentation, Ticketing, Escalations]",[SLA],We are hiring a Customer Support Specialist to support teams in Travel.,"[Deliver high-quality work aligned with goals and timelines, Collaborate with stakeholders and communicate progress clearly, Improve processes and contribute to measurable outcomes]","[Relevant experience and ability to learn quickly, Strong communication and ownership mindset, 'Comfort working with tools, data, and cross-functional teams']"
